term_clean,description
면책위험,"법률상 또는 약관상, 보험자가 보험금지급의 의무를 지지 않는다고 정한 위험. 특약을 가지고도 보험자의 부담으로 하기가 불가능한 것과 특약을 가지고 할증보험료를 납입하면 보험자의 부담으로 할 수가 있는 것이 있다.
법률상 또는 약관상, 보험자가 보험금지급의 의무를 지지않ㄴ느다고 정한 위험. 특약을 가지고도 보험자의 부담으로 하기가 불가능한 것과 특약을 가지고 할증보험료를 납입하면 보험자의 부담으로 할 수가 있는 것이 있다. → 절대적 면책위험, 상대적 면책위험
법률상 또는 약관상, 보험자가 보험금지급의 의무를 지지않는다고 정한 위험. 특약을 가지고도 보험자의 부담으로 하기가 불가능한 것과 특약을 가지고 할증보험료를 납입하면 보험자의 부담으로 할 수가 있는 것이 있다."
명시적 승인,내용이나 뜻을 분명하게 나타내어 해당 행위에 대해 승인하는 것
모계약,원계약에서 자계약이 분리되고 난 이후 원계약의 계약자에게 잔존하는 계약을 말합니다.
모집보조자,"보험자를 위해 모집사무를 보조하는 자로는 보험대리점, 보험의, 보험모집인, 보험중개인 등이 있다."
무보험차 상해보험,"자동차보험의 하나로서, 자동차에 타고 있는 사람이 대인배상책임보험 등을 충분히 부보하고 있지 않는 등 배상자력(배상자력)이 충분치 않은 다른 차와 충돌하여 사망 또는 후유장애(後遺障碍)를 입었을 경우에, 당사자 또는 부모, 배우자, 자녀가 입은 손해에 대해서 배상의 무자가 존재하는 것을 조건으로 보험금을 지급하는 보험. 보험금액은 대인배상보험금과 동일액으로 설정 되는데, 상대 자동차의 자배책보험(自賠責保險) 및 대인배상보험(對人賠償保險) 등에서 지급되는 액수를 초과하는 부분에 대해서만 보험금이 지급된다.
자동차보험의 하나로서, 자동차에 타고 있는 사람이 대인배상책임보험 등을 충분히 부보하고 있지 않는 등 배상자력(배상자력)이 충분치 않은 다른 차와 충돌하여 사망 또는 후유장애(後遺障碍)를 입었을 경우에, 당사자 또는 부모, 배우자, 자녀가 입은 손해에 대해서 배상의 무자가 존재하는 것을 조건으로 보험금을 지급하는 보험"
무사고환급,"무사고로 보험기간이 만료되었을 때 보험료의 일부를 보험계약자에게 환급하기로 보험약관에서 약정하였을 때, 그 환급보험료를 무사고환급이라고 한다."
묵시적 승인,직접적인 말 또는 행동이 아니라 간접적으로 해당 행위에 대해 승인하는 것
물적사고 할증기준금액,대물 및 자차사고시 갱신보험료 할증 또는 할인유예를 결정하는 기준이 되는 금액. 물적사고 할증기준금액을 낮게 설정하면 보험료는 저렴해짐
물체,"구체적인 형체를 지니고 있어 충돌이나 접촉에 의해 자동차 외부에 직접적인 손상을 줄 수 있는 것을 말하며, 엔진내부나 연료탱크 등에 이물질을 삽입하는 경우 물체로 보지 않습니다."
미적립채무,기발생채무 중 자산으로 미적립된 부분
미지급이자,"환급금 지급사유(해지,만기,중도,실효 등)가 발생한 날로부터 환급금 청구일까지의 기간에 대한 부리이자 (최대 2년)"
미필적 고의,일정한 결과 발생 가능성을 인식하면서도 감히 행하는 행위
방문적부,방문을 통하여 피보험자의 직업 및 고지사항을 확인하는 절차
배상의무자,① 자동차상해. 가족상해에서의 배상의무란 피보험자를 죽게하거나 다치게 함으로써 피보험자에게 입힌 손해에 대하여 법률상 손해배상책임을 지는 사람을 말한다. ② 무보험자동차에 의한 상해에서의 배상의무자란 무보험자동차의 사고로 인하여 피보험자를 죽게 하거나 다치게 함으로써 피보험자에게 입힌손해에 대하여 법률상 손해배상책임을 지는 사람을 말한다
배상책임,보험증권상의 보장지역 내에서 보험기간 중에 발생된 보험사고로 인하여 타인에게 입힌손해에 대한 법률상의 책임을 말합니다.
배상책임보험,"배상책임보험은 일상생활이나 사업활동중의 과실로 타인의 신체나 재물에 손해를 끼쳐 법률상의 손해배상책임을 부담하는 피보험자의 손해를 보상하는 보험이다. 따라서 배상책임보험은 법률상의 손해배상금, 소송비용, 변호사, 보수, 중재 또는 화해비용, 응급비용, 호송 또는 기타 긴급조치에 소요된 비용 등을 보상한다. 이 보험은 가해자측의 손해배상에 따르는 경제적 파탄을 구제하고 손해배상책임의 확실한 이행을 촉진시켜 간접적으로 피해자를 구제하는 기능을 가지고 있다."
범위요율,"표준이 되는 보험요율을 중심으로, 예컨대 100분의 10이내의 인상과 인하를 인정하는 제도를 말한다. 범위요율은 위험의 변동·실태에 상응한 요율을 적용할 수 있는 여지를 마련함으로써, 협정요율 내지 고정요율의 경직화를 막으려는 취지에서 도입되었다.
표준이 되는 보험요율을 중심으로, 예컨데 100분의 10이내의 인상과 인하를 인정하는 제도를 말한다. 범위요율은 위험의 변동˙실태에 상응한 요율을 적용할 수 있는 여지를 마련함으로써, 협정요율 내지 고정요율의 경직화를 막으려는 취지에서 도입되었다."
법률상의 배상책임,"법률규정에 따른 배상책임을 말하며, 계약에 의하여 법률규정보다 가중된 배상책임(계약상의 가중책임)은 제외함"
변액유니버설보험,"유니버설보험과 변액보험을 복합한 상품이 변액 <유니버설〉보험인데, 1984년에 미국에서 판매되었다. <유니버설〉보험이 지니는 보험료나 보험금액의 자율성을 계승하는 한편, 자산운용은 변액보험과 마찬가지로 분리계정으로 하기 때문에 투자리스크는 계약자가 부담하게 된다. <유니버설〉보험의 특징인 고이율지향(高利率指向)을 더욱 강하게 추구하는 상품이다. 유니버설보험
유니버설보험과 변액보험을 복합한 상품이 변액유니버설보험인데, 1984년에 미국에서 판매되었다. 유니버설보험이 지니는 보험료나 보험금액의 자율성을 계승하는 한편, 자산운용은 변액보험과 마찬가지로 분리계정으로 하기 때문에 투자리스크는 계약자가 부담하게 된다. 유니버설보험의 특징인 고이율지향(高利律指向)을 더욱 강하게 추구하는 상품이다."
병력,"병력이라 함은 피보험자가 과거에 질병에 걸렸던 사실들, 즉, 질병경력을 말한다. 병력은 피보험자에게 앞으로 어떠한 유형의 보험사고가 발생할 수 있는가를 사전 예측하는데 중요한 단서가 되는 것이므로, 피보험자의 직업, 체격, 현재의 질병상황 등과 함께 피보험자의 실제적 위험정도를 측정하는 중요한 요소가 된다. 일반적으로 질병은 치료정도 및 재발여부 등에 따라 체감성질병, 체증성질병으로 구분할 수 있으나 발생 연령, 경과년수에 따라 증상이 많이 차이가 날 뿐만 아니라 치료의 강도에 따라서도 차이가 생기므로 획일적인 적용은 불가능하다."
보상한도액,"배상책임보험에서의 보험자의 손해보상의 최고 한도액이며, 물보험(物保險)에서의 보험금액에 해당한다. 배상책임보험에서는 다른 보험과 달리 보험가액을 산정할 수 없기 때문에 예상되는 사고의 내용이나 손해배상금 등을 감안해서 타당한 금액을 보상한도액으로 정하여 보험자의 보험금지급책임의 한도로 하고 있는데, 보상한도액내에서 실손보상을 하게 되어 있다."
보장보험료,손해를 보장하기 위해 필요한 보험료를 말합니다.
보장성보험,만기환급금이 이미 납입한 보험료를 초과하지 아니하는 보험.
보철치료,"가철성의치(Denture), 고정성가공의치(Bridge), 임플란트(Implant)를 말하며, 크라운 치료는 제외함"
보통상해보험,- 상해보험
보험가액,"손해보험의 재산보험에서 피보험이익의 경제적 가치이며, 보험사고가 발생하였을 경우에 피보험자가 입게 되는 손해액의 최고 견적액을 말한다. 따라서 보험자가 보상하게 되는 보험금의 최고 한도가 된다."
보험가입 부적격자,"정상피보험체인 표준체에 비하여 보험사고의 발생위험 정도가 너무 높거나 위험 정도의 평가가 불가능하여 보험계약이 성립될 수 없는 가입부적격자(피보험자)를 말하며, 사절체라고도 한다."
보험가입경력요율,과거 자동차보험 가입기간에 따라 보험료를 차등하는 제도
보험계리인,"보험사업은 보험수리의 기초 위에서 운영되고 있으므로 그 사업의 건전성을 유지하기 위하여 보험수리에 관한 이론이나 경험이 갖추어진 사람이 필요한 만큼, 보험업법에서는 보험수리에 관한 업무는 보험 계리인이 담당하도록 규정하고 있다. 보험계리인의 의무는 책임분비금 그 밖의 보험계약준비금, 보험료 와 보험약관에 의한 대부금의 정당성 여부의 확인 또는 업무로 되어 있다."
보험계약,"보험계약이란 당사자의 한쪽(보험자)이 일정한 우연한 사고(보험사고)가 발생하였을 때, 계약상 정해진 재산적 급부(보험금의 지급)를 할 것을 약속하고, 여기에 대하여 상대쪽(보험계약자)이 보수(보험료)를 지급할 것을 약속함으로써, 상법에 의하여 그 효력을 가지게 되는 계약이라고 할 수가 있다. 그리고 보험계약의 성격에 관해서는 ① 유상(有償) ② 쌍무(雙務) ③ 낙성(諾成) ④ 불요식(不要式) ⑤ 사행(射倖) ⑥ 선의(善意) ⑦ 부합(附合) 등의 계약성을 들 수 있다.
보험계약이란 형식적인 법률개념으로서 파악하는 한 당사자의 한쪽(보험자)이 일정의 우연한 사고(보험사고)가 발생하였을 때, 계약상 정해진 재산적 급부(보험금의 지급)를 할 것을 약속하고, 여기에 대하여 상대쪽(보험계약자)이 보수(보험료)를 지급할 것을 약속함으로써, 상법에 의하여 그 효력을 가지게 되는 계약이라고 할 수가 있다."
보험계약 대출,보험계약에 대한 해약환급금의 일정비율 내에서 보험계약자가 언제든지 자유롭게 대출을 받을 수 있는 것을 말한다.
보험계약의 당사자,보험자와 보험계약자를 말한다.
보험계약의 무효,"보험계약이 어떠한 이유로 인해 계약 성립때부터 당사자가 의도한 효과가 발생하지 않는 것을 말한다. 무효 원인으로써는 법률행위 전반에 공통되는 것과, 보험계약에 특유한 것이 있는데 특유의 것으로는 피보험 이익의 부존재(不存在), 초과보험의 초과부분, 계약 당시 피보험자가 사고가 이미 생겼다는 것을 알고 있었을 때 등을 들 수 있다.
보험계약이 그 효력을 발생시키기 위한 요건의 일부 또는 전부에 어떠한 하자가 있어, 당사자간에 의도한 보험계약상의 효과가 발생되지 않는 것을 말한다. 보험계약의 경우 ① 타인의 사망을 보험금 지급사유로 하는 계약에서 피보험자의 서면에 의한 동의를 얻지 아니한 경우와 ②15세 미만자, 심신상실자 또는 심신박약자의 사망을 보험사고로 한 보험계약은 무효가 된다."
보험계약의 체결,"보험계약은 불요식(不要式)의 낙성(諾成)계약으로, 계약의 체결을 희망하는 사람과 보험자 사이에서 계약의 각 요소에 대한 합의가 이루어지면 성립된다."
보험계약자,"보험사업자의 상대방으로서 자기의 명의로 보험계약을 체결하고 보험료를 납입할 의무를 지는 사람을 말한다. 보험계약자는 자연인이든 법인이든, 능력자이든 무능력자이든 상관없으며, 여러사람이 공동으로 보험계약자가 되어도 관계없다."
보험계약증,"보험계약이 성립되고 나서, 보험계약의 성립을 증명하기 위하여 계약내용을 기재하고 보험자가 서명해서 보험계약자에게 교부하는 일정양식의 증서이다."
보험관계,보험자와 보험가입자 사이에 존재하는 법률관계이다. 보험관계의 핵심적인 내용은 보험자측이 보험금의 조건적 급부를 보증하고 가입자측의 보험료지급 기타의 의무를 지는 것이다. 이외의 보험관계의 내용은 보통보험약관에 의해 상세히 규정된다.
보험금,보험계약이 만료되거나 피보험자(보험대상자)가 보험사고를 당했을 경우 보험자가 보험수익자(보험금을 받는자)에게 지급하는 금액을 말한다.
보험금 삭감법,표준미달체 보험의 계약조건 중 하나로서 표준미달체의 초과위험이 체감성인 경우에 적용되는 방법이다. 계약후 일정년수 이내의 사망에 대하여는 미리 정해진 비율로 보험금을 삭감하여 지급하게 된다.
보험금명세서,일정기간내에 일어난 손해에 대한 명세를 재보험자에게 재보험배분과 같은 비율에 의하여 회수액을 통지하는 보고서를 말한다.
보험금지급기준,"약관상 지급보험금 산출을 위한 객관적, 세부적인 산출기준"
보험급부,"보험계약에 의거해서 지급되는 보험금, 급부금 또는 현물급부를 말한다."
보험기간,"계약에 따라 보장을 받는 기간을 말합니다.
보험자의 보험계약상의 책임이 개시되어 종료될 때까지의 기간, 곧 보험자의 책임의 존속기간을 가리키며, 위험기간 또는 책임기간이라고도 한다. 보험기간의 개시시기 즉 시기는 약관 또는 특약에 의하여 여러 가지로 정할 수 있으며, 이러한 정함이 없으면 그 시기는 보험계약의 성립과 동시이지만 보험자의 책임은 최초의 보험료를 지급한 때로부터 개시하는 것을 원칙으로 한다.
보험자의 책임 존속기간. 이 기간내에 보험사고가 발생하였을 경우에만 보험자는 보험금지 급의무를 지는 것이 원칙이다. 그러나 보험기간이 개시되더라도 보험료가 납입되어 있지 않은 때는 보험자의 책임은 개시되지 않는다고 약관상 정하는 일이 많다."
보험년도,당해연도 보험계약 해당일로부터 차년도 보험계약 해당일 전일까지 매1년 단위의 연도를 말합니다. 예를 들어 보험계약일이 2016년 8월 15일인 경우 보험년도는 8월 15일부터 차년도 8월 14일까지 1년.
보험대상자,보험계약에 있어서 보험사고의 대상이 되는 사람을 말한다. 예를 들면 A씨가 가입한 보험이 B씨가 사망할 경우 보험금을 C에게 지급하는 보험계약이라고 하면 A씨나 C씨가 사망한 경우에는 보험금은 지급이 되지 않고 보험대상자(피보험자)인 B씨가 사망한 경우에만 보험금이 지급된다. 사망이 보험금의 지급사유라고 하더라도 해당 보험계약에서는 보험대상자(피보험자)인 B씨의 사망만을 보장하므로 A씨나 C씨가 사망한 경우에는 보험금을 지급하지 않는 것이다. 참고로 위의 계약에서 A씨는 보험계약자 C씨는 보험금을 받는자(수익자)라고 한다.
보험대위,"손해보험에서 보험자가 피보험자(보험대상자)에게 보험금을 지급하였을 때, 일정한 요건하에 피보험자(보험대상자)가 소유하는 어떤 권리가 보험자에게 이전되는 것을 말한다. 보험에 의해서 이득을 거두어서는 안 된다는 원칙에 의거한 제도인데, 보험계약법에도 규정되어 있다.~FF~"
보험료,"계약자가 매 납입기일에 납입하기로 한 금액을 말한다.
보험료는 보험자가 보험사고에 대하여 부담하는 책임에 대한 보수이다. 보험료는 보험금액을 기준으로 하여 위험률에 따라 결정된다. 이것은 보험계약기간을 단위로 하여 위험을 측정하고 그에 따라 보험료가 결정되므로 그 기간의 위험과 보험료와는 불가분으로 연결된다. 따라서 기간 중에 계약이 해지되면 경과기간에 대한 보험료는 반환청구할 수 없고 미경과분에 관하여서는 별도 약정이 없는 한 청구를 할 수 있다"
보험료 기간,"보험료를 산출할 때에 위험률 측정의 표준이 되는 일정기간, 즉 보험료 산정의 기초가 되는 단위기간을 말하며, 통상 1년을 기준으로 한다.
보험료를 산출할 때에 위험률 측정의 표준이 되는 일정기간, 즉 보험료 산정의 기초가 되는 단위기간을 말한다. 보험료기간은 이것을 단위로 해서 보험료를 산출하게 되는, 그 지닌 바 성질상 이 기간 내의 보험료는 나눌 수 없다는 보험료 불가분의 원칙이 있어서 기간의 중도에서 보험자가 그 이후의 위험을 부담하지 않을 경우(예컨데, 보험의 목적이 전손되었을 경우) 보험자는 보험료기간의 전체의 보험료는 환급되지 않는 것을 원칙으로 하고 있으며 수납되지 않은 분할보험료에 대하여 청구의 권리를 갖는다.
보험료를 산출할 때에 위험률 측정의 표준이 되는 일정기간, 즉 보험료 산정의 기초가 되는 단위기간을 말한다. 보험료기간은 이것을 단위로 해서 보험료를 산출하게 되는, 그 지닌 바 성질상 이 기간 내의 보험료는 나눌 수 없다는 보험료 불가분의 원칙이 있어서 기간의 중도에서 보험자가 그 이후의 위험을 부담하지 않을 경우(예컨데, 보험의 목적이 전손되었을 경우) 보험자는 보험료기간의 전체의 보험료는 환급되지 않는다"
보험료 납입기간,"보험계약자가 보험료를 납입할 의무가 있는 기간으로, 보험계약의 조건으로 정해져 있다. 이 기간을 보험기간과 동일한 기간으로 정할 경우에는 X전기납입(全期納入)〉(이를테면, 20년 납입 20년 만기)이 되고, 보험기간보다 짧게 정하는 경우에는 X단기납입(短期納入)〉(이를테면, 20년납입 30년만기)이 된다. 이렇듯 납입기간은 보험기간과 동일하거나 또는 짧은데, 이 기간중 피보험자 또는(어린이 보험 등의 경우) 계약자가 생존해 있는 한 보험료를 납입해야 한다.
보험계약자가 보험료를 납입할 의무가 있는 기간으로, 보험계약의 조건으로 정해져 있다. 이 기간을 보험기간과 동일한 기간으로 정할 경우에는 전기납입(全期納入) 이렇듯 납입기간은 보험기간과 동일하거나 또는 짧은데, 이 기간중 피보험자(보험대상자) 또는 (어린이보험 등의 경우) 계약자가 생존해 있는 한 보험료를 납입해야 한다.
보험계약자가 보험료를 납입할 의무가 있는 기간으로, 보험계약의 조건으로 정해져 있다. 이 기간을 보험기간과 동일한 기간으로 정할 경우에는 전기납입(全期納入)(이를테면, 20년 납입 20년 만기)이 되고, 보험기간 보다 짧게 정하는 경우에는 단기 납입(短期納入)(이를테면, 20년납입 30년만기)이 된다.
보험계약자가 보험료를 납입할 의무가 있는 기간으로, 보험계약의 조건으로 정해져 있다. 이 기간을 보험기간과 동일한 기간으로 정할 경우에는 전기납입(全期納入)(이를테면, 20년 납입 20년 만기)이 되고, 보험기간보다 짧게 정하는 경우에는 단기납입(短期納入)(이를테면, 20년납입 30년만기)이 된다."
보험료 납입면제,"보험계약자의 보험료납입의무를 보험약관의 정함에 따라 면제하고 계약을 유효하게 존속시키는 것을 말한다. 즉, 보험료 납입기간 중 보험료납입면제 사유가 발생하였을 때에는 장래에 한하여 납입할 보험료의 납입을 면제하는 것이다."
보험료 납입방법,설명 없음
보험료 및 책임준비금 산출방법,보험업법에서 정한 기초서류의 하나로서 보험사업의 허가를 받고자 하는 자는 이 서류도 첨부하여 재정경제원장관에게 제출하게 되어 있다. 또한 이 서류를 변경하고자 할 때에도 재정경제원장관의 인가를 받아야 한다.
보험료 및 책임준비금 산출방법서,보험업법에서 정한 기초서류의 하나로서 보험사업의 허가를 받고자 하는 자는 이 서류를 첨부하여 금융감독위원회에 제출하게 되어 있다.
보험료 불가분의 원칙,"보험료는 일정기간(보험료기간)을 단위로 해서 평균적인 위험률을 바탕으로 산정되고 있어서, 그 단위기간내에서 위험을 분할하여 분할기간에 상응하는 보험료를 산출하기는 곤란한 것이다. 따라서 단위기간의 중도에 계약이 소멸되어도, 보험자는 그 단위기간 전부에 대한 보험료 전액을 청구할 권리를 갖게 되는데, 이것을 보험료불가분의 원칙이라고 한다."
보험료 자동납입 특별약관,보험료에 대해 자동으로 은행계좌에서 이체하기로 약정하는 특약
보험료 자동대출납입제도,"보험계약자가 개인사정으로 보험료를 납입하지 않아 연체되었을 경우 계약해지에 따른 불이익을 당하지 않도록 납입최고기간이 경과되기 전까지 보험가입자가 보험료의 자동대출을 신청하면 보험계약대출을 통하여 보험계약대출이 가능한 금액의 범위 내에서 보험료가 자동 대출, 납입되어 보험계약을 계속 유지할 수 있도록 만든 제도를 말한다."
보험료 할증법,"표준미달체 보험에 있어서 가장 많이 쓰이는 계약조건이다. 표준미달체의 초과위험이 체증성 또는 항상성인 경우에 주로 적용되는 방법으로, 위험정도에 따라 주계약의 보험료 이외에 특별보험료를 할증하여 부가하는 방법이다. 이중 계약후 일정기간에만 특별보험료를 부가하여 갹출하는 방법도 적용된다."
보험료결손,"보험상품 판매후 이자율 하락등 상황의 변화로 기존 준비금보다 추가적으로 적립액이 필요한 경우 그 부족액을 말하며, 구체적으로 보험료 적립금의 기말잔액이 미래 보험금 부채의 현재가치에서 미래에 유입될 순보험료의 현재가치를 차감한 금액보다 적은 경우 그 차액을 말한다."
보험료납입면제,"피보험자(보험대상자)가 입원, 상해사고, 장해시 등 보험사고가 발생한 경우 보험료의 납입을 면제해주는 것을 말한다. 그러나, 보험계약은 유효하다."
보험료불가분의 원칙,"보험자가 보험료의 산정을 위해서 책정한 단위기간, 즉 보험료기간(보통1년)에 대응하는 보험료는 이를 더 이상 세분화할 수 없다는 원칙. 보험자가 보험료기간 중의 일부분이라도 위험부담을 한 경우에는 보험료기간의 중도에 보험계약이 장래에 대하여 해지되거나 실효 등으로 종료한 때에도 보험자는 그 보험료기간에 대응하는 보험료 전부에 대한 권리를 갖게 되는 것이다."
보험료율,"기준 보험금액에 대한 보험료를 보험료율이라고 하며 이것은 보험종류, 성별 및 연령별로 다르다. 보험료율은 기준보험금에 대한 계약자의 비용 부담을 표시하며 실제의 보험료는 보험료표에 의하여 계약보험금액, 보험종류, 성별, 연령별로 산출한다."
보험모집인,"보험모집인은 소속된 보험사업자를 위하여 보험계약의 체결을 중개하는자로서 보험가입의 권유, 보험료의 수금, 기존계약의 보전 등 영업활동을 직접 담당하는 보험업법의 규정에 의하여 등록된 자를 말한다."
보험목적의 양도,"어느 물건에 대해서 보험계약이 체결된 후, 그 물건을 매매 등으로 남에게 양도하는 일. 상법에서는 피보험자가 보험의 목적을 남에게 양도하였을 때에는 동시에 보험계약에 의해서 생긴 권리도 양도한 것으로 추정하고 있다. 이 경우, 양수인은 피보험자로서의 권리뿐만 아니라 각종의 의무도 아울러 부담하게 된다. 실제에 있어서 이러한 경우에는 보험증권에 보험자의 승낙배서(承諾背書)를 받도록 약관에서 정하는 것이 통례이다."
보험사고,"보험사고라 함은 보험계약에 따른 보험금 지급을 발생시키는 사고를 말한다. 따라서 보험금 지급 대상이 아닌 사고는 보험사고라 할 수 없다. 특정한 유형의 사고를 보험사고로 하기 위해서는 두가지의 조건이 충족되어야 하는데 첫째는 사고발생의 개연성이 존재해야 하며, 둘째는 사고에 따른 손해액을 상당한 수준에서 예측할 수 있어야 한다. 보험사고가 발생하는 경우 그 계약은 더 이상 효력을 가지지 않는 것이 원칙이나, 질병보험이나 상해보험 등에서와 같이 보험사고로 인한 보험금 지급액이 일정수준에 도달할 때까지는 계속 계약이 유지되는 경우도 있다."
보험사업,"어떤 경영주체가 스스로 보험자가 되어서, 다수의 사람들과 보험계약을 체결하여, 보험료의 대가로 위험부담이라는 서비스를 제공하는 일을 업으로 하는 경우에 보험사업이 존재하게 된다. 보험사업은 개개의 사업경영주체를 놓고 말할 때의 개념이며, 여기에 대해서 보험산업은 그것들의 전체를 놓고 말할 때의 개념이라고 할 수 있다."
보험산업,보험서비스의 공급주체의 모임을 전체로서 파악한 용어. 보험산업은 3차산업내지 서비스산업에 속한다.
보험서비스,"보험사업에 있어서는 본래 보험자체를 상품으로서 인식하는 견해가 있어던 것은 아니었는데 마케팅의 개념이 도입되면서 잠재수요를 어떻게 해서 현재화(顯在化)시키며 고객의 요망에 어떻게 부응할 것인가 하는 점에 대한 고찰이 활발해졌고, 거기에서 보험의 모집은 위험부담 내지 위험보장이라는 서비스의 판매라고 인식하게 되었다."
보험설계,"각각의 소비자의 필요에 적합한 내용의 보험상품을 설계하는 일.
각각의 소비자의 필요에 적합한 내용의 보험상품을 설계하는 일"
보험수익자,"보험수익자란 인보험계약에 특유한 개념으로서 보험사고 발생시에 보험금지급청구권을 갖는 자를 말하며 인보험계약에서 보험계약자와 보험수익자가 동일하면 '자기를 위한 인보험계약'이 되고, 이 양자가 다른 경우에는 '타인을 위한 인보험계약'이 된다."
보험약관,보험계약에서 한쪽의 계약당사자인 보험자가 미리 정해놓은 보험계약의 내용에 관한 조항을 말한다. 보험약관에는 같은 종류의 보험계약 전부에 공통된 계약내용을 정해놓은 보통보험 약관과 개개의 계약에서 그 내용을 보충˙변경˙배제하는 특별약관이 있다.
보험업법,"보험사업자에 관한 정부의 감독법규이다. 보험사업에 대하여 그 공공성을 감안하여 특별한 규제를 하기위한 일종의 상사특별법규로서 민영보험사업자에 대한 행정적 감독규제와 보험사업을 영위하는자의 조직 및 업무활동, 보험의 모집 기타 보험과 관계된 제반 규정이 복합된 공법 및 사법의 병합 법규이다"
보험연도,보험기간이 1년이 넘는 장기의 보험계약에 있어서 보험기간의 시기로부터 기산(起算)한 1년마다를 보험연도라고 한다. 경우에 따라서는 계약연도라고도 한다.
보험연령,"보험료 산정연령을 말하며, 이를 개개의 가입자에게 적용하는 경우에는 가입연령, 계약시 연령 등으로 부른다. 보험연령은 실제연령이 가장 가까운 정수(整數) 연령(최근 만연령)이 쓰여진다. 즉, 만연령에서 6개월 이하는 절사, 6개월 이상은 절상을 한다. 다만 1개월은 언제나 30일로 계산한다."
보험요율,개개의 보험상품에 부과하는 상품의 단가를 말한다.
보험의 모집,"보험의 권유 내지는 판매를 뜻한다. 보험사업의 건전성과 보험계약자의 이익을 지키기 위해서 보험업법 제3장(보험의 모집)에 의해서 보험모집행동은 감독을 받고 있다. 보험업법상(業法上) 모집을 할 수 있는 자는 ①보험사업자의 임·직원 ②보험모집인 ③보험대리점 또는 보험중개인 ④보험대리점 또는 중개인의 임원 및 사용인으로 신고된 자로 한정되어 있다.
보험의 권유 내지는 판매를 뜻한다. 보험사업의 건전성과 보험계약자의 이익을 지키기 위해서 보험업법 제3장(보험의 모집)에 의해서 보험모집 행동은 감독을 받고 있다. 이 업법상(業法上) 모집을 할 수 있는 자는 ①보험사업자의 임・직원 ②보험모집인 ③보험대리점 또는 보험중개인 ④ ③의 임원 및 사용인으로서 신고필자로 되어있으나 ③의 보험중개인(브로커)제도는 시행되지 않고 있다.
보험의 권유 내지는 판매를 뜻한다. 보험사업의 건전성과 보험계약자의 이익을 지키기 위해서 보험업법 제3장(보험의 모집)에 의해서 보험모집 행동은 감독을 받고 있다. 이 업법상(業法上) 모집을 할 수 있는 자는 ①보험사업자의 임직원 ②보험모집인 ③보험대리점 또는 보험중개인 ④ ③의 임원 및 사용인으로서 신고필자로 되어있으나 ③의 보험중개인(브로커)제도는 시행되지 않고 있다."
보험의 목적의 양도,"어느 물건에 대해서 보험계약이 체결된 후, 그 물건을 매매 등으로 남에게 양도하는 일. 상법에서는 피보험자가 보험의 목적을 남 에게 양도하였을 때에는 동시에 보험계약에 의해서 생긴 권리도 양도한 것으로 추정하고 있다. 이 경우, 양수인은 피보험자로서의 권리 뿐만 아니라 각종의 의무도 아울러 부담하게 된다. 실제에 있어서 이러한 경우에는 보험증권에 보험자의 승낙배서 (承諾背書)를 받도록 약관에서 정하는 것이 통례이다"
보험자,"보험계약의 한쪽의 당사자로, 보험사고가 발생하였을 경우에, 보험금을 지급하는 의무를 지닌 쪽을 말한다.
보험계약의 한쪽의 당사자로, 보험사고가 발생하였을 경우에, 보험금을 지급하는 의무를 지닌 쪽을 말한다"
보험적소득이전,"보험제도의 운영에서 한쪽에서는 많은 사람들에 의한 보험료의 거출이 있고, 다른 쪽에서는 여기에 대응하는 형식으로 그것을 재원으로 하여 그 가운데의 위험에 부딪친 사람들에 대한 보험금의 급부라는 처리가 있는 것을 볼수 있는데, 거기에 대해서 자금의 흐름을 거시적으로 객관시하면, 보험제도운영책임자(보험경영주체 또는 보험사업자)를 중개로하여 가입자상호간에 소득의 이전이 이루어지고 있다고 생각할 수가 있다. 이것을 보험적 소득이전이라고 한다."
보험조건,보험약관 보험중개인(保險仲介人) insurance broker 보험의 전문가로서 보험계약자를 위해서 가장 적당한 보험자를 찾아내어 보험계약자의 대리인으로 계약을 체결˙매개하는 일을 직업으로 하는 사람. 보험자의 대리인으로 계약의 체결을 처리하는 대리점과는 다르다. 보험중개인제도는 주로 영미에서 발달한 제도인데 보험업법상으로는 우리나라에서는 규정되어 있으나 아직 이 제도가 시행되지 않고 있다.
보험중개사,독립적으로 보험계약의 체결을 중개하는 자로서 금융위원회에 등록된 자
보험증권,"보험계약의 성립과 그 내용을 증명하기 위하여 보험자가 기명날인하여 보험계약자에게 교부하는 증서를 말한다. 보험계약자의 권리 이전이나 행사에 관해서는 반드시 보험증권의 제출을 필수요건으로 하지 않으므로 보험증권은 유가증권이나 민법상의 계약서와는 다르다. 이는 단순히 계약의 성립과 내용에 관한 증거가 되는 효력을 갖는 증거증권이며, 보험자를 위해서는 보험금의 지급에 대하여 면책증권으로도 된다."
보험차익,고정자산의 손실 및 손괴에 의하여 지급받은 보험금이 그 고정자산의 파해 직전의 장부가격을 초과하는 경우 그 초과금액을 보험차익이라고 한다.
