일련번호,단어명,설명세부내용,쉬운용어단어명
124,선택의료급여기관,"의료급여 환자 중 희귀난치성질환 또는 11개 고시질환을 가진 자로서 그 하나의 질환으로 상한일수에 90일을 초과하여 의료급여를 받고자 하는 자 또는 기타 질환(들)으로 상한일수에 180일을 초과하여 의료급여를 받고자 하는 자가 신청하는 의료기관<출처 : 보건복지부, 선택의료급여기관 적용 대상자 및 이용절차 등에 관한 규정(안), 2007>",
125,선택진료,환자나 환자의 보호자가 종합병원·병원·치과병원·한방병원 또는 요양병원의 특정한 의사·치과의사 또는 한의사를 선택하여 진료를 받는 것. 이 경우 특별한 사유가 없으면 의료기관의 장은 환자나 환자의 보호자가 요청한 의사·치과의사 또는 한의사가 진료하도록 하여야 한다. 2018년 1월 선택진료비가 폐지됨에 따라 의료기관의 장은 환자의 진료의사 선택에 따른 추가비용을 받을 수 없다. <출처: 의료법 제46조>,
126,소득월액,"소득월액이란 직장가입자가 지급받는 보수를 기준으로 산정한 보수월액에 산정된 보수를 제외한 직장가입자의 종합소득이 연 7,200만원을 초과하는 소득을 의미<출처 : 보건복지부 건강보험정책국 정책과>",
127,소득월액보험료,"소득월액이란 직장가입자가 지급받는 보수를 기준으로 산정한 보수월액에 산정된 보수를 제외한 직장가입자의 종합소득이 연 7,200만원을 초과하는 소득을 의미하며, 소득월액보험료란 이러한 고액소득이 발생하는 직장가입자가 추가로 납입해야하는 건강보험료<출처 : 보건복지부 건강보험정책국 정책과>",
128,수진자,진찰을 받는 사람<출처 : 국립국어원 국어사전>,환자
129,시장형실거래가제도,"약을 보험상한가보다 싸게 산 요양기관에 저가로 구매한 수준에 따라 인센티브를 지급함으로써 약의 실거래가가 투명하게 드러나도록 하고, 다음해 실거래가로 약가를 인하하는 제도로서 저가구매 인센티브제라고도 불리움<출처 : 보건복지부 보도자료. 2012. 11. 7.>",
130,실비,진료를 받는데 실제로 사용된 비용. <출처 : 국립국어원 국어사전>,실제비용
131,심결,진료비 심사가 완결되었음을 의미함<출처:보건복지부 건강보험정책국 정책과>,심사완결
132,심사청구,이의신청 결정에 불복이 있는 자가 이의신청에 대한 결정통지를 받은 날부터 90일 이내에 보건복지부 장관 소속하에 있는 건강보험분쟁위원회에 그 심의를 요청하는 권리구제 절차 <출처:보건복지부 건강보험정책국 정책과>,
133,아급성기 진료,"급성기 진료가 필요하지는 않지만 집중적이고 숙련적인 간호서비스가 필요한 환자들을 진료하는 것이고, 미국에서는 요양간호시설(Skilled Nursing Facility, SNF) 서비스가 이와 같은 범주에 속함 <출처 : 캘리포니아 주 보건부>",준급성기
134,약제상한차액,약제의 상한가와 요양기관이 구입한 단가와의 차액 중 100분의 70에 해당하는 금액(소수 첫째짜리까지 계산)에 1회 투약량*1일투여량(투여횟수)*총투여일수를 곱해 산출한 금액<출처 : 건강보험심사평가원>,의약품구입차이액
135,완제의약품,"제조공정이 완료되어 최종적으로 인체에 투여할 수 있도록 일정한 제형으로 분류, 내용고형제, 연고제, 내용액제, 외용액제, 주사제로 제조된 의약품임. 이와 대비되는 용어로는 원료의약품이 있고, 이는 사람에게 투여가 용이하게 제제를 생산하기 바로 전단계의 의약품을 지칭함<출처:부광약품주식회사, 생산팀&최종경. 원료의약품 산업. 고부가가치 원료의약품의 수요 증가에 따른 시장 확대. 2010. 9. 16>",
136,완화의료,"암, 후천성면역결핍증, 만성 폐쇄성 호흡기질환, 만성 간경화, 그 밖에 보건복지부령으로 정하는 질환 중 어느 하나의 질환으로 말기환자 또는 임종과정에 있는 환자와 그 가족에게 통증과 증상의 완화 등을 포함한 신체적, 심리사회적, 영적 영역에 대한 종합적인 평가와 치료를 목적으로 하는 의료를 말한다.<출처: 호스피스·완화의료 및 임종과정에 있는 환자의 연명의료결정에 관한 법률 제2조>",호스피스·완화의료
137,외래,환자가 입원하지 아니하고 병원에 다니면서 치료를 받음. <출처 : 국립국어원>,
138,요양개시일,"해당 상병의 진료를 위하여 그 달에 최초 내원(입원)한 연, 월, 일을 기재하되, 동일 수진자의 명세서가 정액, 정률 등으로 구분되는 경우에는 해당 명세서의 최초 내원(입원)일자를 기재한다.<출처 : 건강보험심사평가원. 요양급여 명세서 작성방법>",진료시작일
139,요양급여,"건강보험 가입자 및 피부양자의 질병·부상·출산 등에 대하여 요양기관으로부터 진찰·검사, 약제·치료 재료의 지급, 처치·수술 기타의 치료, 예방·재활, 입원, 간호, 이송 등에 대하여 직접 의료서비스를 제공받는 것<출처: 국민건강보험법 제41조>",
140,요양급여비용열외군,"질병군 대상 진료 중 진료비가 예외적으로 많이 발생했을 때 추가보상을 하기 위한 질병군. 포괄수가제도의 경우, 산정한 요양급여비용 총액이 행위별로 산정한 금액보다 적고 그 차액이 100만원을 초과하는 경우 초과치를 추가로 지급함<출처 : 보건복지부. 7개 질병군 관련 질의·응답>",
141,요양기관,"요양기관이란 건강보험 가입자 또는 피부양자의 질병, 부상, 출산 등에 대하여 요양급여를 실시하는 곳을 말하며, 「의료법」에 따라 개설된 의료기관, 「약사법」에 따라 등록된 약국, 「약사법」 제91조에 따라 설립된 한국희귀의약품센터,  「지역보건법」에 따른 보건소·보건의료원 및 보건지소,  「농어촌 등 보건의료를 위한 특별조치법」에 따라 설치된 보건진료소가 있다. <출처: 건강보험심사평가원 기능과 역할 및 국민건강보험법 제42조 제1항>",
142,요양병원,"의사나 한의사가 주로 입원환자를 대상으로 의료행위를 하는 의료기관으로서, 30개 이상의 요양병상(장기입원이 필요한 환자를 대상으로 의료행위를 하기 위하여 설치한 병상)을 갖추어야 한다.<출처: 의료법 제3조, 제3조의2>",
143,요양비,"공단이 가입자가 긴급하거나 부득이한 사유로 요양기관과 비슷한 기능을 하는 기관에서 질병·부상·출산 등에 대하여 요양을 받거나 요양기관이 아닌 장소에서 출산한 경우에, 그 요양급여에 상당하는 금액을 보건복지부령으로 정하는 바에 따라 가입자나 피부양자에게 지급하는 것 <출처 : 국민건강보험법 제49조>",
144,의료급여,"의료급여법에 따라 생활이 어려운 자에게 실시하는 급여<출처: 건강보험공단, 건강보험 용어사전>",
145,의약품동등성,"주성분 ·함량 및 제형이 동일한 두 제제에 대한 의약품동등성을 입증하기 위해 실시하는 생물학적동등성시험, 비교용출시험, 비교붕해등 기타시험의 생체내·외 시험을 말함<출처 : 식품의약품안전청 고시 제2011-57호>",
146,의약품선별등재,"식품의약품안전처장으로부터 허가(신고)받은 의약품에 대해 치료적, 경제적 가치를 평가한 후, 품질이 우수한 의약품을 선별해 보험을 적용하는 제도<출처 : 김진현 외, “보훈의료서비스 효율성 강화방안” 연구보고서>",
147,이첩,받은 공문이나 통첩을 다른 부서로 다시 보내어 알림<출처 : 국어사전>  ,
148,이학요법,"일반적으로 물리치료라 하며, 약물투여 또는 처치 및 수술 등에 의하여 치료 효과를 얻기 곤란한 경우로서 재활 및 물리치료가 보다 효과가 있다고 인정되는 경우에 행함. 기본물리치료, 단순재활치료, 전문재활치료, 기타 이학요법으로 구분됨.     <출처 : 김태수 외, 산재보상 이론과 실무. 2010.>",재활물리치료
149,일반병상,"입원실 이용비용을 입원료만으로 산정하는 병상으로, 4~6인이 공동으로 사용하는 병상 <출처: 국민건강보험 요양급여의 기준에 관한 규칙 제9조 제1항 별표  2 제4호 가목, 보건복지부 고시 제2014-131호, 2014-141호 관련, 2014.9.1.적용)>",
150,일투,1일 투여횟수 ,일일투여횟수
151,재료대,치료를 위한 재료에 지불하는 돈                   <출처 : 국립국어원>,치료재료비용
152,임의비급여,"① 요양기관이 사위 기타 부정한 방법으로 가입자 등으로부터 요양급여 비용을 받거나 가입자 등에게 이를 부담하게 한 경우 ② 요양기관이 진료비를 자의적 판단에 따라 비급여로 처리하는 행위 ③ 요양기관이 요양급여기준에 해당하지 아니하고, 법령이 규정한 비급여대상에도 해당하지 아니한 진료행위를 시행하고 환자 측으로부터 그 비용을 지급받는 것<출처 : 대법원 공보관, 2010두27639, 27646 과징금부과처분취소 등 >",건강보험임의제외
153,비용효과적인 함량 사용대상 의약품 처방,"동일성분, 동일제형이지만 여러 함량이 있어 고함량 가격이 저함량 가격의 2배보다 적은 경우, 1회 투여 용량을 고함량으로 하는 것 - 1회 복용량이 같다면 적은 함량의 약을 여러알 처방하는 대신 고함량 1알을 처방해야 하는 것<출처 : www.druginfo.co.kr >",
154,적응증,"어떤 약제나 수술로 치료 효과가 기대되는 병 또는 증상이라고 볼 수 있으며, 특히 효능 또는 효과의 뜻으로 사용됨<출처 : 새국어사전 >",
155,전원,환자의 전체 또는 부분적인 진료를 현재 의료기관 또는 의료인에서 다른 의료인에게 전달하는 과정,병원 이동
156,제네릭,"오리지널 약의 특허가 만료돼 다른 제약사가 공개된 기술을 이용해 오리지널 약과 같은 효능을 갖도록 만든 약으로, 카피약(제약협회가 사용하는 공식용어) 또는 복제약으로 불림<출처 : 연합뉴스, 2006.07.10 >",복제약
157,부상병,"진료기간 중 주상병과 함께 있었거나, 발생된 상병으로서 환자 진료에 영향을 주었던 상병을 의미하며, 발생된 경우에만 기재하고, 해당 진료기간 중 다루지 않은 과거에 진료를 받았던 상병은 기재하지 않음<출처 : 심사평가원, 상병 기재원칙>",부가질병
158,전담의,당해 요양기관에 전속된 의사로서 중환자실에 근무하는 의사를 말함,
159,주상병,"의료기관을 방문하게 만든 가장 중요한 병태 <출처 : 심사평가원, FAQ>",주요질병
160,준용수가,"「상대가치점수표」에 분류되지 아니한 행위에 대하여 내용, 성격과 상대가치점수가 가장 유사한 분류항목으로 산정하는 행위료 <출처 : 심사평가원, “상대가치점수 및 주요수가변경 내용” >",
161,지표연동관리제,"심사평가원의 요양기관 관리지표 정보를 요양기관에 제공하여 자율적 개선을 유도하고 미개선 시 현지조사, 평가와 연계하여 포괄적으로 관리하는 개념<출처 : 건강보험심사평가원>",지표연동자율개선제
162,진료비고가도지표,"한 요양기관의 환자구성을 감안했을 때 실제 진료비가 비교군의 전국평균에 비해 얼마나 높은지를 나타내는 수치. 개별 요양기관에서 진료한 질병군별 실제 발생한 평균건당금액과 동일 진료과목의 진병군별 평균건당금액을 대입하여 산출하므로 해당기관의 진료비용이 상대적으로 얼마나 높이지를 알 수 있음.<출처 : 심사평가원, 진료비고가도지표 산출방법 자료집. 2010.6>",진료비비교지표
163,질병군,"입원환자들을 주진단명, 부상병명, 수술명, 연령, 성별, 진료결과 등에 따라 진료내용이 유사한 그룹으로 분류한 것<출처 : 김창엽. 건강보장의 이론. 한울. 2009>",
164,차등수가,"의사, 치과의사, 한의사 또는 약사 1인당 진찰횟수 또는 조제건수에 따라서 요양기관에 진찰료와 조제료 등을 차등지급하여 주는 수가이다. 2015년 12월부터 의과의원 차등수가가 폐지되었다.<출처 : 건강보험공단, 건강보험 용어사전 및 보건복지부 고시 제2015-191호, 206호, 207호>",
165,청구,"청구의 원 뜻은 ‘남에게 돈이나 물건 따위를 달라고 요구’하는 것으로, 건강보험에서의 청구는 일반적으로 진료비 청구를 의미한다. 이 경우 청구는 ‘의료기관이 보험자에게 진료 행위에 대하여 진료비를 요구하는 일’을 뜻한다.<출처 : 새국어사전 활용>",의료기관 진료비 신청
166,초진,처음으로 진찰을 함. 또는 그 진찰<출처 : 새국어사전>,
167,촉탁의,"학교나 회사 같은 데에서 건강 진단, 질병 치료 따위를 위촉하고 있는 의사(촉탁(囑託)이란 정규 종업원으로 고용계약(雇傭契約)을 맺지 않고 특수업무에 종사하는 근로자로서 특수한 기능·기술·경험 등이 있는 기업 밖의 인재를 뜻함)<출처 : 고려대 한국어대사전>",
168,총투,의료제공자가 환자에게 제공한 의약품 총 투여횟수,총투여횟수
169,취하종용,신청하였던 것을 취소하도록 설득하거나 달래어 권함<출처 : 새국어용어사전>,
170,외용약,"바르는 약, 붙이는 약<출처 : 심사평가원 건강보험 용어집 >",
171,피부양자,"피보험자의 배우자와 그 직계존속, 직계비속, 직계비속의 배우자 또는 그 형제자매 중에 주로 그 피보험자에 의해 생계를 유지하는 자로서 보건복지부 장관이 정하는 기준에 해당하는 자<출처 : 국민건강보험법 제5조제2항>",
172,행려환자,"의료급여법 제3조제1항제9호 및 동법 시행령 제2조제1호의 규정에 해당하는 자로 다음 4가지 요건을 모두 충족하는 자를 의미. ①일정한 거소가 없는 자, ②행정관서(경찰서, 소방서 등)에 의하여 병원에 이송된 자, ③‘응급의료에 관한 법률’ 제2조제1호 내지 제3호의 규정에 의한 응급의료(응급처치 및 응급진료)를 받은 응급 환자임이 의사진단서상 확인되는 자, ④신분증 또는 신원조회를 통해 부양의무자가 없거나 부양의무자가 있어도 부양능력이 없거나 부양을 기피하는 것으로 파악된 자를를 행려환자라 함<출처 :보건복지부, 2013 의료급여사업안내, 2013>",
173,현지계도,일반적으로 보험자 또는 정부에서 요양기관을 대상으로 깨치어 특정 항목 또는 내용에 대해 이끌어 주는 것을 의미함      ,
174,효능군 중복의약품,동일한 약물 효능 또는 동일한 약물 계열에 속하는 의약품<출처 : 건강보험심사평가원>,
175,포괄수가제,"DRG 분류체계를 이용하여 입원환자의 진료비를 보상하는 제도로서 입원기간 동안 제공된 검사, 수술, 투약 등 의료서비스의 종류나 양에 관계없이 어떤 질병의 진료를 위해 입원했었는가에 따라 미리 책정된 일정액의 진료비를 보상하는 제도<출처 : 심사평가원, 급여기준-포괄수가제 >",
176,의약품처방조제지원서비스,"의약품 처방·조제 시 병용금기 등 의약품 안전성과 관련된 정보를 실시간 제공하여 부적절한 약물사용을 사전에 점검할 수 있도록 시스템으로 구축하고, 이 시스템을 이용하여 의사 및 약사에게 안전 정보를 제공하는 것을 “DUR” 또는 “의약품 처방조제지원 서비스”라고 함<출처 : 보건복지부, 의약품 처방·조제 지원 서비스(DUR) 운영계획, 2012>",의약품안전사용서비스
177,간호등급차등제 (간호관리료차등제),"병상 수 또는 환자 수 당 확보된 간호사 수에 따라 1~7등급으로 분류하여 그 등급에 따라 입원료에 대해 가산율을 적용하여 입원료를 차등지급하는 제도임. 적정 수준의 간호사 수를 확보하지 못한 의료기관에서 간호서비스의 일부를 보호자나 간병인에게 위임하는 등 입원진료 시 간호서비스의 질이 저하되는 현상을 해소하고 의료기관의 간호서비스 질 향상을 유도하고자 함<출처: 대한간호협회 웹진, 보건복지부 고시 2018-041호>",
178,차상위계층,경제적으로 최하위 계층과 비슷하거나 약간 더 나은 계층. 근로 능력과 약간의 고정 재산이 있어서 소득이 최저 생계비를 초과하므로 기초 생활 수급자로서의 혜택을 받을 수 없는 잠재적 빈곤층이다.<출처: 국립국어원>,
179,의약품처방조제지원서비스,의약품을 처방하고 조제할 때 함께 먹으면 부작용이 발생할 수 있거나 중복되는 약 등 의약품 안전성과 관련된 정보를 실시간으로 의사와 약사에게 컴퓨터 화면으로 제공하여 부적절한 약물 사용을 사전에 점검하는 서비스를 말한다. <출처: 건강보험심사평가원 기능과 역할>,의약품안전사용서비스
180,ESG,"기업의 비재무적 요소인 환경(Environmental), 사회(Social), 거버넌스(Governance)를 뜻하는 말- ESG 경영: 투자 의사결정 시 ‘사회적 책임’이나 ‘지속가능성’ 관점에서 기업이 환경과 사회에 미치는 영향과 지배구조 등을 고려하는 투자, 경영의 방법",
181,동반성장,"공공기관 및 대기업 등이 중소기업과 상생·협력하여 중소기업 경쟁력 강화 및 양극화 해소를 실현하는 것으로, 국민경제의 지속성장 기반을 마련하는 것을 최종 목적으로 함",
182,기업성장 응답센터,"기업고객의 규제애로 접수 및 처리, 기업민원 보호위반 신고 접수 및 처리 등을 위하여 설치된 기구",
183,응급의료비 미수금 대지급제도,"의료기관 등이 응급환자에게 응급의료 및 이송처리를 제공하고 응급의료비용 등을 지불받지 못하였을 경우, 심사평가원에 그 비용을 청구하면 심사평가원은 비용에 대한 적정성을 심사하여 응급환자 대신 의료기관에 비용을 지급함. 그 후 응급환자 본인 및 상환의무자(배우자, 응급환자의 1촌의 직계혈족 및 그 배우자 또는 다른 법령에 따른 진료비 부담 의무자)로부터 대지급금을 상환 받음<출처 : 「응급의료에 관한 법률」>",
184,선별급여,"요양급여를 결정함에 있어 경제성 또는 치료효과성이 불확실하여 그 검증을 위하여 추가적인 근거가 필요하거나, 경제성이 낮아도 건강회복에 잠재적인 이득이 있는 경우 등에 예비적인 요양급여인 선별급여로 지정한 것을 말함(본인부담상향제 적용 배제, 본인부담률 50%, 80%, 90%) 선별급여 적합성 평가: 선별급여에 대해 주기적으로 요양급여의 적합성을 평가하여 요양급여 여부를 다시 결정하고 요양급여기준 조정 등을 실시<출처 : 건강보험심사평가원 기능과 역할>",
185,ATC코드,"세계보건기구(WHO)에서 개발한 국제적인 의약품 분류코드로, 의약품이 약효를 나타내기 위해 작용하는 해부학적 부위, 치료 효과 및 화학적 특성에 따라 분류되는 코드(ATC Code, Anatomical Therapeutic Chemical Code)생산·수입·공급 중단 보고대상 의약품 목록 선정, OECD 의약품 생산 및 소비통계 등 의약품 관련 통계산출, 우리원의 의약품 심사·평가·연구를 위한 의약품 분류정보 제공 등에 활용<출처 : 건강보험심사평가원 기능과 역할>",
186,공공데이터,"데이터베이스, 전자화된 파일 등 공공기관이 법령 등에서 정하는 목적을 위하여 생성 또는 취득하여 관리하고 있는 광(光) 또는 전자적 방식으로 처리된 자료 또는 정보 ①「전자정부법」에 따른 행정정보 ②「지능정보화 기본법」에 따른 정보 중 공공기관이 생산한 정보③「공공기록물 관리에 관한 법률」에 따른 전자기록물 중 대통령령으로 정하는 전자기록물, 그 밖에 대통령령으로 정하는 자료 또는 정보<출처 : 「공공데이터의 제공 및 이용 활성화에 관한 법률」제2조(정의)>",
187,사전정보공표,국민의 정보공개 청구가 없더라도 국민이 필요로 하는 정보를 선제적·능동적으로 공개하는 제도. 다만 「공공기관의 정보공개에 관한 법률」 제9조(비공개대상정보) 제1항 각 호의 어느 하나에 해당하는 정보에 대해서는 그러하지 아니함<출처 : 「공공기관의 정보공개에 관한 법률」제7조>,
188,신의료기술,요양급여대상 또는 비급여대상으로 결정되지 않은 새로운 행위 및 치료재료<출처 : 건강보험심사평가원 기능과 역할>,
189,혁신의료기술,"신의료기술 평가 결과 안전성·잠재성이 인정된 의료기술로서 복지부장관이 따로 정하여 고시하는 사용기간, 사용목적, 사용대상 및 시술방법 등에 대한 조건을 충족하는 경우에만 임상에서 사용 가능한 의료기술로, 고시된 사용기간 종료 후 재평가(안전성·유효성) 실시<출처 : 「국민건강보험 요양급여의 기준에 관한 규칙」>",
190,이의신청,"심사평가원의 처분에 대한 권리구제 절차로서 요양(의료급여)기관, 공단 또는 그 밖의 자가 요양(의료)급여비용에 대한 심사 및 요양급여의 적정성에 대한 평가 등에 관한 처분에 불복하여 관계법령에 따라 처분의 취소나 변경을 신청하는 것<출처 : 「국민건강보험법」제87조(이의신청)>",
191,심판청구,"심사평가원의 처분에 대한 이의신청 결정에 불복이 있는 자가 법령에서 정한 사항을 기재한 심판청구서를 보건복지부 건강보험분쟁조정위원회 또는 심사평가원에 제출하여 재심사를 구하는 행정쟁송 절차<출처 : 「행정심판법」,「국민건강보험법」제88조(심판청구) 등>",
192,DUR점검,"보건복지부 및 식품의약품안전처 고시에 따라 의약품 간 병용금기, 특정 연령금기, 임부금기 성분 약제에 대해 투여 위반 여부를 점검<출처 : 건강보험심사평가원 기능과 역할>",
193,전문심사,"청구된 명세서를 심사직원이 직접 심사하는 방법으로 심사기준의 적합 여부에 대한 전문의학적 판단이 필요한 경우 심사위원 심사 또는 전문심사위원심사, 심사위원회 심의를 의뢰하게 되며, 진료내역 확인이 필요한 경우는 현지확인 심사를 실시할 수 있다<출처 : 건강보험심사평가원 기능과 역할>",
194,의료급여일수 상한,"수급권자가 의료급여 기금의 부담으로 의료급여를 받을 수 있는 일 수- 복지부장관이 정하여 고시하는 결핵질환, 희귀난치성질환 또는 중증질환: 질환별로 연간 365일(윤년의 경우 366일)로 제한- 만성질환(「의료급여수가의 기준 및 일반기준」제22조)에 대하여는 질환별로 연간 380일로 제한- 만성질환(「의료급여수가의 기준 및 일반기준」제22조)에 대하여는 질환별로 연간 380일로 제한- 그 외 질환에 대해서는 모든 질환의 의료급여일수를 합하여 연간 400일로 제한- 단, 인체면역결핍증바이러스 질환자에 대하여는 상한일수를 제한하지 않음<출처 : 건강보험심사평가원 기능과 역할>",
195,선택의료급여기관 제도,"의료급여 상한일수를 초과한 수급권자는 여러 의료급여기관 이용에 따른 병용금기 및 중복투약으로 건강상 위해 발생 가능성이 높으므로, 차기년도 말까지 본인이 선택한 의료급여기관을 우선 이용하도록 하는 제도<출처 : 건강보험심사평가원 기능과 역할>",
196,본인부담금 보상제,"수급권자의 본인부담 경감을 위하여 매 30일간의 본인부담금이 1종 2만원, 2종 20만원을 초과하는 경우 초과한 금액의 50%에 해당하는 금액을 보장기관이 지급함<출처 : 건강보험심사평가원 기능과 역할>",
197,그린처방의원,약품비를 지속적으로 적정하게 처방하는 의원에 대하여 비금전적 인센티브를 지원함으로써 의약품 적정처방행태를 장려하기 위함 <출처 : 「그린처방의원 비금전적 인센티브 사업지침」>,
198,일당정액수가,해당 진료에 필요한 요양급여 각 항목의 점수와 약제·치료재료의 비용을 합산하여 증세의 경중도의 구분에 따른 1일당 상대가치점수로 산정한 것 (예: 요양병원 입원 정액수가) <출처 : 「국민건강보험법 시행령」제21조(계약의 내용 등)제3항제1호>,
199,시범사업,"정책적 추진 필요성에 따라 신규건강보험 제도 및 수가로 진입하기 위한 사전 프로세스. 건강보험 재정을 투입하여 시범적 운영 후 정책 효과성을 사전 검증하여 정책 효율성을 높이기 위해 실시 <출처 : 「보건의료기본법」제44조(보건의료 시범사업), 건강보험심사평가원 기능과 역할>",
200,입원적정성 심사,"「보험사기방지 특별법」제7조에 따라 수사기관(경찰, 검찰)이 보험사기 행위 수사를 위하여 보험계약자 등의 입원이 적정한 것인지 여부에 대하여 심사를 의뢰하면, 수사기관의 제출자료를 근거로 공공심사위원회의 심의·의결 절차를 거쳐 결정한 적정 입원일수 등의 심사결과를 의뢰기관에 통보하는 업무 <출처 : 「보험사기방지 특별법」제7조(수사기관의 입원적정성 심사의뢰 등) 건강보험심사평가원 기능과 역할>",
201,현지조사,"요양기관이 지급받은 요양급여비용 등에 대해 세부진료내역을 토대로 사실관계 및 적법여부를 확인·조사하고, 그 결과에 따라 부당이득 환수 및 행정처분 등을 실시하는 보건복지부장관의 행정조사 <출처 : 건강보험심사평가원 기능과 역할>",
202,부당청구,"건강보험법령에서 정한 요양급여기준, 진료수가기준을 위반하여 요양급여를 실시하고 그 비용을 청구하는 것으로, 청구자의 고의·과실 여부는 고려하지 않고 객관적 위반 사실이 있었을 경우 부당청구로 봄<출처 : 건강보험심사평가원 기능과 역할>",
203,거짓청구,진료비 청구의 원인이 되는 진료행위가 실제 존재하지 않았으나 진료행위가 존재한 것으로 가장하여 진료비 등을 청구하는 행위<출처 : 건강보험심사평가원 기능과 역할>,
204,자율점검제,"착오청구의 개연성이 단순·반복적으로 확인되는 사항을 요양기관에 통보하면, 요양기관이 자체점검을 통해 요양(의료)급여 비용 반납 등 자율적으로 시정할 수 있도록 하는 제도<출처 : 건강보험심사평가원 기능과 역할>",
205,간호간병 통합서비스,"병동환경(시설·장비 등), 적정 제공인력 배치 및 환자 안전관리 등 통합서비스 제공에 필요한 여건을 갖춘 병동에서 보호자나 간병인이 상주하지 않고 간호사, 간호조무사 등 전문 간호 인력이 팀을 이루어 제공하는  입원서비스<출처 : 간호간병통합서비스 표준운영매뉴얼 2020, 보건복지부/국민건강보험>",
206,환자경험평가,"의료서비스의 질적 수준을 국민의 관점에서 확인 및 환자 중심의 의료문화 확산을 위한 병원 평가 제도  - (평가대상자) 만 19세 이상 성인으로 1일 이상 의과 입원환자 본인    · 조사시점: 퇴원 이후 8주(2~56일) 이내인 환자    · 제외대상: 낮병동, 완화병동, 소아청소년과, 정신건강의학과 환자  - (대상기관) 상급종합병원 및 종합병원  - (평가영역) 1.간호사영역 2.의사영역 3.투약 및 치료과정 4.병원환경 5.환자권리보장 6.전반적 평가  - (평가방법) 구조화된 설문지를 활용한 모바일웹 조사 실시 <출처 : 건강보험심사평가원 2023년(4차) 환자경험평가 세부시행 계획>",
207,요양급여 적정성 평가,건강보험으로 제공된 진찰·시술·투약·검사 등의 요양급여에 대한 의료의 질을 향상시키기 위하여 효과성·효율성·환자안전·환자중심성 등의 측면에서 적정하게 제공하였는지를 평가하는 것<출처 : 건강보험심사평가원 기능과 역할>,
208,효능군 중복의약품 점검,식약처 공고에 의거 동일한 약물 효능 또는 동일한 약물 계열에 속하는 의약품이 함께 투여되는 경우 처방전 간 점검을 실시하며 단일제 및 복합제의 경우 개별성분에 대하여 각각 점검<출처 : 건강보험심사평가원 기능과 역할>,
209,투여기간주의 의약품 점검,식약처 공고에 의거 처방 당 총 투여일수가 최대투여기간을 초과하는 의약품에 대해 처방전 내 및 처방전 간 점검을 실시<출처 : 건강보험심사평가원 기능과 역할>,
210,심사,"요양기관에서 환자를 진료하고 청구한 요양급여비용이 정확하게 청구되었는지, 의약학적으로 인정되는 범위 안에서 최적의 방법으로 이루어졌는지, 법령에서 정한 요양급여비용 산정기준에 따라 산정되었는지 여부 등을 객관적으로 공정하게 검토·확인하여 요양기관에 지급할 비용을 결정하는 것<출처 : 건강보험심사평가원 기능과 역할>",
211,한국표준질병 사인분류,의무기록자료 및 사망원인통계조사 등 질병이환 및 사망자료를 그 성질의 유사성에 따라 체계적으로 유형화한 것<출처 : 통계청 발간 한국표준질병·사인분류 2020>,
212,3단상병,"상병의 소분류로 알파벳 1자리와 숫자 2자리, 총 3단위숫자로 구성된 상병",
213,4단상병,"상병의 세분류로 알파벳 1자리와 숫자 3자리, 총 4단위숫자로 구성된 상병",
214,원문정보공개,생산문서 정보목록 및 임원급 결재문서 중 공개로 설정된 원문정보를 별도 국민의 청구가 없더라도 정보공개시스템을 통해 공개하는 제도<출처 : 「공공기관의 정보공개에 관한 법률」제8조의2(공개대상 정보의 원문공개) <건강보험심사평가원 기능과 역할>>,
215,의약품 표준코드,"개개의 의약품을 식별하기 위하여 고유하게 설정된 번호로서 국가식별코드(3자리), 제조·수입업체 식별코드(4자리), 품목코드(5자리) 및 검증번호(1자리)를 포함한 13자리 숫자<출처 : 건강보험심사평가원 기능과 역할>",
216,녹색제품,제품의 생산과 소비·폐기 전과정에서 에너지와 자원의 투입과 온실가스 및 오염물질 발생을 최소화한 제품  ※ 출처:「기후위기 대응을 위한 탄소중립·녹색성장 기본법」제66조제4항,
217,HIRA e-form system,의료기관의 EMR 등 병원정보시스템과 연계하여 진료비 심사 등에 필요한 진료정보를 표준화된 형태(표준서식)로 제출하는 시스템※ 출처: 건강보험심사평가원 기능과 역할,
218,HIRA e-Image system,"전송 프로그램(심사자료 업로더)을 통해 일반 이미지 파일 (jpg, tif 등) 뿐만 아니라 PACS에서 생성된 CT, MRI 등 영상정보를 국제표준(DICOM) 형태로 제출하는 시스템※ 출처: 건강보험심사평가원 기능과 역할",
219,일반의약품,"다음 어느 하나에 해당하는 것으로서 보건복지부장관과 협의하여 식품의약품안전처장이 정하여 고시하는 기준에 해당하는 의약품  - 오용·남용될 우려가 적고, 의사나 치과의사의 처방 없이 사용하더라도 안전성 및 유효성을 기대할 수 있는 의약품  - 질병 치료를 위하여 의사나 치과의사의 전문지식이 없어도 사용할 수 있는 의약품  - 의약품의 제형과 약리작용상 인체에 미치는 부작용이 비교적 적은 의약품※ 출처:「약사법」제2조제9호",
